Demand for PJM Interconnection LLC (PJM) American Electric Power zone hourly - UTC time
https://www.eia.gov/opendata/v1/qb.php?category=3390296&sdid=EBA.PJM-AEP.D.H
19:27:58 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.PJM-AEP.D.H megawatthours
10/17/2022 04H,11380
10/17/2022 03H,12001
10/17/2022 02H,12553
10/17/2022 01H,12922
10/17/2022 00H,13037
10/16/2022 23H,12508
10/16/2022 22H,12140
10/16/2022 21H,11936
10/16/2022 20H,11872
10/16/2022 19H,11802
10/16/2022 18H,11685
10/16/2022 17H,11628
10/16/2022 16H,11582
10/16/2022 15H,11935
10/16/2022 14H,11691
10/16/2022 13H,11710
10/16/2022 12H,11483
10/16/2022 11H,11162
10/16/2022 10H,10796
10/16/2022 09H,10637
10/16/2022 08H,10564
10/16/2022 07H,10695
10/16/2022 06H,10754
10/16/2022 05H,10939
10/16/2022 04H,11298
10/16/2022 03H,11702
10/16/2022 02H,12161
10/16/2022 01H,12491
10/16/2022 00H,12459
10/15/2022 23H,12155
10/15/2022 22H,12053
10/15/2022 21H,11933
10/15/2022 20H,11823
10/15/2022 19H,11793
10/15/2022 18H,11875
10/15/2022 17H,11921
10/15/2022 16H,12096
10/15/2022 15H,12304
10/15/2022 14H,12470
10/15/2022 13H,12540
10/15/2022 12H,12229
10/15/2022 11H,11843
10/15/2022 10H,11380
10/15/2022 09H,11244
10/15/2022 08H,11169
10/15/2022 07H,11171
10/15/2022 06H,11296
10/15/2022 05H,11635
10/15/2022 04H,11980
10/15/2022 03H,12505
10/15/2022 02H,12859
10/15/2022 01H,13137
10/15/2022 00H,13263
10/14/2022 23H,13007
10/14/2022 22H,12960
10/14/2022 21H,12865
10/14/2022 20H,12843
10/14/2022 19H,13090
10/14/2022 18H,13354
10/14/2022 17H,13418
10/14/2022 16H,13560
10/14/2022 15H,13847
10/14/2022 14H,14148
10/14/2022 13H,14434
10/14/2022 12H,14254
10/14/2022 11H,13541
10/14/2022 10H,12477
10/14/2022 09H,11853
10/14/2022 08H,11554
10/14/2022 07H,11482
10/14/2022 06H,11506
10/14/2022 05H,11736
10/14/2022 04H,12061
10/14/2022 03H,12749
10/14/2022 02H,13367
10/14/2022 01H,13731
10/14/2022 00H,13900
10/13/2022 23H,13500
10/13/2022 22H,13472
10/13/2022 21H,13457
10/13/2022 20H,13488
10/13/2022 19H,13607
10/13/2022 18H,13620
10/13/2022 17H,13512
10/13/2022 16H,13449
10/13/2022 15H,13451
10/13/2022 14H,13553
10/13/2022 13H,13498
10/13/2022 12H,13227
10/13/2022 11H,12658
10/13/2022 10H,11641
10/13/2022 09H,11192
10/13/2022 08H,10944
10/13/2022 07H,10920
10/13/2022 06H,11047
10/13/2022 05H,11378
10/13/2022 04H,11846
10/13/2022 03H,12576
10/13/2022 02H,13257
10/13/2022 01H,13681
10/13/2022 00H,13793
10/12/2022 23H,13472
10/12/2022 22H,13476
10/12/2022 21H,13524
10/12/2022 20H,13313
10/12/2022 19H,13454
10/12/2022 18H,13535
10/12/2022 17H,13608
10/12/2022 16H,13634
10/12/2022 15H,13718
10/12/2022 14H,13702
10/12/2022 13H,13767
10/12/2022 12H,13789
10/12/2022 11H,13176
10/12/2022 10H,12071
10/12/2022 09H,11316
10/12/2022 08H,11053
10/12/2022 07H,10946
10/12/2022 06H,11174
10/12/2022 05H,11381
10/12/2022 04H,11902
10/12/2022 03H,12477
10/12/2022 02H,13108
10/12/2022 01H,13673
10/12/2022 00H,13886
10/11/2022 23H,13487
10/11/2022 22H,13293
10/11/2022 21H,13168
10/11/2022 20H,13467
10/11/2022 19H,13527
10/11/2022 18H,13475
10/11/2022 17H,13438
10/11/2022 16H,13279
10/11/2022 15H,13748
10/11/2022 14H,13891
10/11/2022 13H,14317
10/11/2022 12H,14404
10/11/2022 11H,13683
10/11/2022 10H,12464
10/11/2022 09H,11791
10/11/2022 08H,11490
10/11/2022 07H,11458
10/11/2022 06H,11532
10/11/2022 05H,11643
10/11/2022 04H,12038
10/11/2022 03H,12571
10/11/2022 02H,13225
10/11/2022 01H,13830
10/11/2022 00H,13965
10/10/2022 23H,13389
10/10/2022 22H,13103
10/10/2022 21H,13294
10/10/2022 20H,13128
10/10/2022 19H,13078
10/10/2022 18H,13343
10/10/2022 17H,13445
10/10/2022 16H,13546
10/10/2022 15H,13857
10/10/2022 14H,14150
10/10/2022 13H,14462
10/10/2022 12H,14391
10/10/2022 11H,13615
10/10/2022 10H,12576
10/10/2022 09H,11867
10/10/2022 08H,11454
10/10/2022 07H,11261
10/10/2022 06H,11205
10/10/2022 05H,11278
10/10/2022 04H,11556
10/10/2022 03H,12029
10/10/2022 02H,12439
10/10/2022 01H,12795
10/10/2022 00H,12441
10/9/2022 23H,11933
10/9/2022 22H,11825
10/9/2022 21H,11532
10/9/2022 20H,11555
10/9/2022 19H,11665
10/9/2022 18H,11779
10/9/2022 17H,11879
10/9/2022 16H,12149
10/9/2022 15H,12393
10/9/2022 14H,12759
10/9/2022 13H,12873
10/9/2022 12H,12517
10/9/2022 11H,12050
10/9/2022 10H,11690
10/9/2022 09H,11455
10/9/2022 08H,11390
10/9/2022 07H,11356
10/9/2022 06H,11412
10/9/2022 05H,11213
10/9/2022 04H,11287
10/9/2022 03H,11827
10/9/2022 02H,11911
10/9/2022 01H,12278
10/9/2022 00H,12350
10/8/2022 23H,11679
10/8/2022 22H,11864
10/8/2022 21H,11611
10/8/2022 20H,11325
10/8/2022 19H,11366
10/8/2022 18H,11692
10/8/2022 17H,12009
10/8/2022 16H,12061
10/8/2022 15H,12564
10/8/2022 14H,12623
10/8/2022 13H,12518
10/8/2022 12H,12144
10/8/2022 11H,11667
10/8/2022 10H,11273
10/8/2022 09H,10979
10/8/2022 08H,10842
10/8/2022 07H,10842
10/8/2022 06H,10945
10/8/2022 05H,11221
10/8/2022 04H,11619
10/8/2022 03H,12230
10/8/2022 02H,12685
10/8/2022 01H,12999
10/8/2022 00H,13090
10/7/2022 23H,12949
10/7/2022 22H,12828
10/7/2022 21H,12990
10/7/2022 20H,13045
10/7/2022 19H,12937
10/7/2022 18H,13305
10/7/2022 17H,13501
10/7/2022 16H,13316
10/7/2022 15H,13374
10/7/2022 14H,13515
10/7/2022 13H,13760
10/7/2022 12H,13694
10/7/2022 11H,12957
10/7/2022 10H,12042
10/7/2022 09H,11396
10/7/2022 08H,11136
10/7/2022 07H,11025
10/7/2022 06H,11350
10/7/2022 05H,11540
10/7/2022 04H,12120
10/7/2022 03H,12685
10/7/2022 02H,13456
10/7/2022 01H,13970
10/7/2022 00H,13999
10/6/2022 23H,13773
10/6/2022 22H,13687
10/6/2022 21H,13494
10/6/2022 20H,13444
10/6/2022 19H,13505
10/6/2022 18H,13607
10/6/2022 17H,13578
10/6/2022 16H,13596
10/6/2022 15H,13821
10/6/2022 14H,13723
10/6/2022 13H,13837
10/6/2022 12H,13913
10/6/2022 11H,13236
10/6/2022 10H,12035
10/6/2022 09H,11495
10/6/2022 08H,11260
10/6/2022 07H,11380
10/6/2022 06H,11417
10/6/2022 05H,11657
10/6/2022 04H,12155
10/6/2022 03H,12748
10/6/2022 02H,13433
10/6/2022 01H,13873
10/6/2022 00H,14032
10/5/2022 23H,13858
10/5/2022 22H,13767
10/5/2022 21H,13658
10/5/2022 20H,13707
10/5/2022 19H,13669
10/5/2022 18H,13759
10/5/2022 17H,13687
10/5/2022 16H,13596
10/5/2022 15H,13786
10/5/2022 14H,14004
10/5/2022 13H,14302
10/5/2022 12H,14274
10/5/2022 11H,13727
10/5/2022 10H,12519
10/5/2022 09H,11829
